Date,Ticker,Open,High,Low,Close,Adj_Close,Volume
1/4/2010,AAPL,6.395005013,6.427065367,6.363543934,6.412383556,6.412383556,493729600
1/4/2010,AMZN,6.8125,6.830500126,6.657000065,6.695000172,6.695000172,151998000
1/4/2010,AVGO,1.289114547,1.331380556,1.268685925,1.328562856,1.328562856,5387000
1/4/2010,GOOG,15.49897587,15.56226197,15.43198108,15.49403191,15.49403191,78541293
1/4/2010,GOOGL,15.57178177,15.63536632,15.5044736,15.56681442,15.56681442,78169752
1/4/2010,MSFT,22.88343549,23.24215653,22.86101489,23.13005638,23.13005638,38409100
1/4/2010,NVDA,0.424265198,0.426786502,0.415096861,0.423806787,0.423806787,800204000
1/5/2010,AAPL,6.430062033,6.459725291,6.389611445,6.42347002,6.42347002,601904800
1/5/2010,AMZN,6.671500206,6.774000168,6.590499878,6.734499931,6.734499931,177038000
1/5/2010,AVGO,1.334902397,1.355331013,1.275025481,1.338424563,1.338424563,3011000
1/5/2010,GOOG,15.50466042,15.52097653,15.36523279,15.42580032,15.42580032,120638494
1/5/2010,GOOGL,15.57749583,15.59388866,15.43741332,15.49826431,15.49826431,120067812
1/5/2010,MSFT,23.05531955,23.24215358,22.89837823,23.13752556,23.13752556,49749600
1/5/2010,NVDA,0.422202286,0.434579556,0.422202286,0.429995388,0.429995388,728648000
1/6/2010,AAPL,6.423469044,6.44893778,6.31470325,6.321295261,6.321295261,552160000
1/6/2010,AMZN,6.730000019,6.736499786,6.582499981,6.612500191,6.612500191,143576000
1/6/2010,AVGO,1.334902842,1.359558017,1.309543201,1.348991513,1.348991513,5331000
1/6/2010,GOOG,15.47202795,15.47202795,14.98996487,15.03693485,15.03693485,159744526
1/6/2010,GOOGL,15.54470983,15.54470983,15.06038178,15.10757256,15.10757256,158988852
1/6/2010,MSFT,23.07774474,23.22721257,22.80870463,22.99553871,22.99553871,58182400
1/6/2010,NVDA,0.429766159,0.433662697,0.425640403,0.432745874,0.432745874,649168000
1/7/2010,AAPL,6.344667492,6.352158416,6.263767112,6.309610367,6.309610367,477131200
1/7/2010,AMZN,6.600500107,6.616000175,6.440000057,6.5,6.5,220604000
1/7/2010,AVGO,1.341242969,1.350400623,1.313770006,1.340538502,1.340538502,2718000
1/7/2010,GOOG,15.06511721,15.07995004,14.65103618,14.68688202,14.68688202,257533695
1/7/2010,GOOGL,15.1358874,15.1507904,14.71986229,14.75587559,14.75587559,256315428
1/7/2010,MSFT,22.89090127,22.94321599,22.56207446,22.75638199,22.75638199,50559700
1/7/2010,NVDA,0.430453704,0.432287377,0.421056151,0.424265057,0.424265057,547792000
1/8/2010,AAPL,6.301218511,6.352155975,6.264065142,6.351556301,6.351556301,447610800
1/8/2010,AMZN,6.527999878,6.684000015,6.451499939,6.676000118,6.676000118,196610000
1/8/2010,AVGO,1.33138044,1.359557777,1.327858273,1.350400209,1.350400209,2899000
1/8/2010,GOOG,14.63496883,14.91308295,14.56352515,14.88267612,14.88267612,189680313
1/8/2010,GOOGL,14.70371699,14.9831371,14.6319365,14.95258808,14.95258808,188783028
1/8/2010,MSFT,22.62933915,23.0777397,22.59944502,22.91332626,22.91332626,51197400
1/8/2010,NVDA,0.420827038,0.42816173,0.418305762,0.425182015,0.425182015,478168000
1/11/2010,AAPL,6.376126903,6.382119641,6.245788058,6.295526981,6.295526981,462229600
1/11/2010,AMZN,6.631000042,6.639999866,6.460499763,6.515500069,6.515500069,175588000
1/11/2010,AVGO,1.352513745,1.377169005,1.340538391,1.358853698,1.358853698,5127000
1/11/2010,GOOG,14.94299574,14.94299574,14.68540053,14.8601799,14.8601799,289597429
1/11/2010,GOOGL,15.01319198,15.01319198,14.75438617,14.92998695,14.92998695,288227484
1/11/2010,MSFT,22.95069505,22.98806272,22.50976798,22.62186813,22.62186813,68754700
1/11/2010,NVDA,0.427473864,0.429307536,0.413262929,0.419222355,0.419222355,556612000
1/12/2010,AAPL,6.267960526,6.285339867,6.184963502,6.2239151,6.2239151,594459600
1/12/2010,AMZN,6.449500084,6.491000175,6.327499866,6.367499828,6.367499828,181926000
1/12/2010,AVGO,1.34828668,1.34828668,1.320109264,1.338424563,1.338424563,9167000
1/12/2010,GOOG,14.77464294,14.78725037,14.53608337,14.59739113,14.59739113,194859654
1/12/2010,GOOGL,14.84404955,14.85671686,14.60436918,14.66596603,14.66596603,193937868
1/12/2010,MSFT,22.5321856,22.71901964,22.35282508,22.47239876,22.47239876,65912100
1/12/2010,NVDA,0.413033915,0.414638368,0.39630167,0.405011594,0.405011594,627432000
1/13/2010,AAPL,6.228412637,6.320098764,6.115451882,6.311708927,6.311708927,605892000
1/13/2010,AMZN,6.394999981,6.485499859,6.287499905,6.455500126,6.455500126,214464000
1/13/2010,AVGO,1.335607184,1.335607184,1.285592373,1.297567725,1.297567725,9439000
1/13/2010,GOOG,14.25154101,14.54547615,14.18751375,14.51358604,14.51358604,260838034
1/13/2010,GOOGL,14.31848991,14.61380592,14.25416139,14.58176613,14.58176613,259604136
1/13/2010,MSFT,22.61439551,22.80870311,22.42756144,22.68165588,22.68165588,51863500
1/13/2010,NVDA,0.407762131,0.411887887,0.391946735,0.410512626,0.410512626,508868000
1/14/2010,AAPL,6.295527516,6.306014408,6.262867493,6.275152206,6.275152206,432894000
1/14/2010,AMZN,6.456999779,6.519000053,6.320000172,6.367499828,6.367499828,195498000
1/14/2010,AVGO,1.3017943,1.329267171,1.278547979,1.298272133,1.298272133,10654000
1/14/2010,GOOG,14.43472652,14.68935611,14.40778038,14.58181858,14.58181858,170239717
1/14/2010,GOOGL,14.50253472,14.75835991,14.47546228,14.65031719,14.65031719,169434396
1/14/2010,MSFT,22.65175737,23.24215358,22.61439113,23.13752556,23.13752556,63228100
1/14/2010,NVDA,0.405469927,0.408449614,0.397218416,0.404094666,0.404094666,608524000
1/15/2010,AAPL,6.320097724,6.3401734,6.168485019,6.170282841,6.170282841,594067600
1/15/2010,AMZN,6.459000111,6.482500076,6.353000164,6.356999874,6.356999874,307530000
1/15/2010,AVGO,1.307429643,1.307429643,1.278547923,1.284887791,1.284887791,1587000
1/15/2010,GOOG,14.66809409,14.67353311,14.28985888,14.3383131,14.3383131,218194794
1/15/2010,GOOGL,14.73699949,14.74246471,14.35698766,14.40567017,14.40567017,217162620
1/15/2010,MSFT,23.22721101,23.3467847,22.95069597,23.06279755,23.06279755,79913200
1/15/2010,NVDA,0.401115056,0.404553182,0.386904115,0.392175913,0.392175913,818192000
1/19/2010,AAPL,6.24219243,6.447738534,6.20953321,6.44324398,6.44324398,730007600
1/19/2010,AMZN,6.315499783,6.400000095,6.216499805,6.38049984,6.38049984,177852000
1/19/2010,AVGO,1.260936935,1.278547853,1.218670932,1.254597068,1.254597068,3813000
1/19/2010,GOOG,14.36798016,14.59591067,14.24659897,14.52669048,14.52669048,173315202
1/19/2010,GOOGL,14.43547565,14.66447546,14.31352377,14.59493065,14.59493065,172495332
1/19/2010,MSFT,22.98059468,23.34678935,22.92828135,23.2421627,23.2421627,46575700
1/19/2010,NVDA,0.389196188,0.402031868,0.388050146,0.399510592,0.399510592,545328000
